con1-product,con1-money,con1-dominant_emo,con1-dominant_emo_pos,con1-dominant_emo_neg,con1-text_emo1,con1-text_emo2,con1-text_importance,con1-text_goalsCon,con1-text_pleasant,con1-text_expect,con1-self_control,con1-pleasantness,con1-goal_con,con1-expect,con1-fairness,con1-certainty,con1-coping,con1-goal_relevance,con1-other_account,con1-difficult,con1-self_account,con1-attention,con1-control_circum,con1-future_expect,con1-control_other,con1-effort,con1-problem,con1-norm_external,con1-circum_account,con1-novel,con1-research,con1-recommend,con1-again,con1-anger,con1-joy,con1-disappoint,con1-surprise,con1-pride,con1-gratitude,con1-disgust,con1-regret,con1-satisfied,con1-other_Text_emo,con1-other_emo,con2-product,con2-money,con2-dominant_emo,con2-dominant_emo_pos,con2-dominant_emo_neg,con2-text_emo1,con2-text_emo2,con2-text_importance,con2-text_goalsCon,con2-text_pleasant,con2-text_expect,con2-self_control,con2-pleasantness,con2-goal_con,con2-expect,con2-fairness,con2-certainty,con2-coping,con2-goal_relevance,con2-other_account,con2-difficult,con2-self_account,con2-attention,con2-control_circum,con2-future_expect,con2-control_other,con2-effort,con2-problem,con2-norm_external,con2-circum_account,con2-novel,con2-research,con2-recommend,con2-again,con2-anger,con2-joy,con2-disappoint,con2-surprise,con2-pride,con2-gratitude,con2-disgust,con2-regret,con2-satisfied,con2-other_Text_emo,con2-other_emo,PID1-1,PID1-2,PID1-3,PID1-4,PID1-5,PID1-6,PID1-7,PID1-8,PID1-9,PID2-1,PID2-2,PID2-3,PID2-4,PID2-5,PID2-6,PID2-7,PID2-8,PID2-9,Demo-gender,Demo-gender_5_TEXT,Demo-age,Demo-race,Demo-race_6_TEXT,Demo-ethnicity,Demo-language,Demo-education,Demo-income,prolific_id,PEACE_REVIEW
renting a beach house,"3,000",Other positive emotion,Enjoyment,,"I felt enjoyment when we were staying at the beach house because it was a chance to get away from the stressful routine of everyday life and be in a peaceful, relaxing place. ","We enjoyed staying at the beach house because it was a chance to spend a week in a peaceful, relaxing break. It was a welcome change from our regular lives. ",Yes because it's important to have a break from the stress of work and school life. Being at the beach and enjoying being in the water and waves is very peaceful. ,Yes because we had stayed at this beach house before and the experience was consistent with what we had experienced in the past. ,Yes because it made for a nice change from the stresses of everyday life. ,"Expected because we had stayed at the beach house before and it was consistent with our previous experience, and also because the weather was good that week -- there were no storms. ",6,7,7,4,,7,7,7,,1,4,4,4,4,,1,1,7,,1,7,7,7,1,7,1,2,4,5,1,1,7,NA,,"A trip to Fort Lauderdale, Florida","1,500",Disappointment,,,"Our flight was delayed on the way there, the hotel we stayed at was disappointing, and the weather was rainy while we were there. ",The trip did not go as planned and we were unable to completely enjoy it. ,Yes because we were looking forward to taking the trip. ,No because the hotel in Fort Lauderdale did not seem clean and the town and beach there did not live up to our expectations.  ,No because the hotel and other aspects of the trip did not live up to our expectations. ,Unexpected because the hotel and other aspects of the trip did not live up to our expectations. ,4,3,2,,4,3,4,3,6,6,3,4,4,5,6,6,7,4,3,4,5,2,1,5,2,7,5,1,1,5,6,1,NA,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Female,,65 years old or older,White or Caucasian,,No,English,Bachelor’s degree,"$50,000-$74,999",62dee5f2ad4598079383a5aa,1
iPhone 14 pro max,1300,Other negative emotion,,none,I felt immense joy using the product because it was my goal to own it and so i felt i've accomplished it. The products features are high end and i bet you would enjoy having the product plus the product is from a very prestigious brand here in the US,Actually i was having a feeling of self accomplishment because i achieved my goal of having the product,Yes because I've always wanted to try out the most recent product from the brand having not purchased any iPhone post iPhone 11 so yeah the it was important to both have the brand and its high end product features.,Yes because for the time i've been using this product i've had 100% satisfaction and i really feel close to the product.,Yes because the camera resolution for instance is one the best i've seen from such products do far. It's design also stands out to me and i feel proud having and using it,Expected because  the features from the product description and other users reviews turn out to be true and of course that was expectation ,6,7,7,4,4,4,7,1,1,1,1,1,1,4,1,1,1,1,1,1,6,7,7,1,7,1,4,7,7,1,1,7,NA,,A Range Rover,38500,Regret,,,Initially before buying the car my friends advised me not to go for the range rover because it is expensive to maintain and fuel but i went against their advice. Later on i can to realize that i would have gone for a nice Toyota SUV at a cheaper price which is more decent and isn't costly to maintain and fuel.,I felt i would have opted for different product which is way cheaper and classic as well.,"Neutral because although i felt i made the wrong choice, i also appreciate owning and using it.",Yes because it had all the high end features that i wanted and that gave me pride pleasure and solace to some extent.,Yes because i could feel the joy using the product despite the fact that it was to fuel it but yes it was an heavenly feeling using the product.,Expected because i knew i would enjoy high end features and i was also aware i needed to budget more for gas.,5,5,6,7,7,7,7,5,1,4,7,7,1,4,1,7,3,4,1,6,7,5,2,1,6,5,4,6,7,5,7,4,NA,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Somewhat agree,Male,,25 - 34 years old,Black or African American,,No,ENGLISH,Bachelor’s degree,"$75,000-$99,999",62962081623fdb8a89196208,1
Smartphone,330,Other negative emotion,,Anxiety,"I worried a lot if I had made the right decision or if I might've bought a faulty product from a scam dealer (even though I did lots of research beforehand). I mostly was just anxious about spending that much money and if the phone was worth it, and how upset I would be about losing out on that worth if the phone turned out to be malfunctioning/not good quality/not a good fit for me.",I was anxious about having misused money or making the wrong choice by purchasing the phone that I did.,"Yes because I am planning on using this phone for several years, and I use it everyday and rely on it when I'm out to have a good charge and be functional/easy to use.","Yes because it was a significant upgrade from my old phone, and I felt like I had made a good choice buying from the brand that I did.","Yes because it was a newer model phone than my older one, and it was nice having better features and functionality.",Expected because the functionality was better than my old phone.,5,5,5,4,6,6,5,5,4,4,5,4,4,4,3,4,5,4,3,5,7,6,5,1,6,2,4,1,5,1,2,6,Anxiety,7,Computer,800,Joy,,,"It was very novel to me because it was the first time I've had a desktop tower in years, and the first time I'd had one capable of handling most PC games and a dual monitor setup. I was very happy to experience what felt like something I'd been missing out on for the last few years, as many of my friends in better monetary situations had gaming PCs before I did.",Because it was new to me and something I had been wanting to set up for a long time.,"Yes because I use my PC for everything work and leisure, basically.",Yes because it handles everything that I expect it to.,"Yes, because there have been no issues with the PC so far and it runs some things I hadn't expected it to starting out.","Yes, because it runs extremely smoothly for what I need it to do.",7,7,7,5,7,7,6,7,2,1,7,2,2,7,2,2,2,4,2,7,7,7,6,1,7,1,3,1,6,1,1,7,NA,,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Neither agree or disagree,Somewhat agree,Strongly agree,Strongly agree,Non-binary / third gender,,25 - 34 years old,American Indian/Native American or Alaska Native,,No,English,Some high school or less,"$25,000-$49,999",5d464c8a4bfe160001692125,1
bought shoe,250,Regret,,,"i feel surprised because of thinking about why did i buy this expensive shoe,which i am not wearing at all","i am not using it, and it is just a showcase piece",no because it is not my type of product. i dont know why i bought it.,no because i cant wear it for a whole day it is just for a show piece,"no because the type of shoes hurt my legs, i feel not in control when i wear it.","nothing turn out like i wished ,it is not comfortable lik i expected because its a pointed  shoe.",6,4,4,1,4,5,1,1,6,5,5,2,4,5,,4,6,,,,2,2,1,7,2,7,2,2,2,5,7,1,NA,,bag,150,Other negative emotion,,no,that product is really useful for me and i like it very much,i did not feel any negative emotion when i use it.,"yes because it is really reliable, and it is useful.",neutral because it is ok to use at any occassion. it is a fine product.,"yes because i like to use it,happy about it .i bought it like a special piece.","expected because it is a valuable piece, you can use anywhere",7,6,6,6,6,6,5,6,,,6,,,,,,5,6,5,4,7,7,7,2,6,2,6,6,6,2,2,6,NA,,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree or disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Female,,25 - 34 years old,Asian,,No,malayalam,Bachelor’s degree,"$50,000-$74,999",62ac8d659c88fde55ead0662,1
Showtime,99,Disappointment,,,"I bought a subscription to Showtime for 1 year because there is a show that I wanted to watch on it. I figured the $99 dollar price for one year was not too terrible. I am joyful that I get to watch that show because I thoroughly enjoy it. I am also joyful to notice that there are a few horror films that I have been wanting to see, which were not on any other streaming services that I have. However, I am certainly disappointed with the functioning of the app. It is unorganized, glitchy, only has a few select options (one profile for example), and does not have a very large library. Further, I am disappointed that they have a HUB right on the main screen for after-hours content (such as porn), without having any parental control features or multiple profile options so I can safeguard my child from seeing this content. ","I explained this in the previous question. I was joyful to watch the show I wanted and find a few select horror movies. I am disappointed that there is limited content, no parental controls, and only one profile to view/save different shows and movies.","No, because it is simply a streaming service that I subscribed to in order to watch one show. At the time, I thought the yearly price was worth it. However, the service that is important to me in any sense.","Neutral because I subscribed to watch one show. In that sense I got what I wanted, plus a few movies that I wanted to see. However, being ""Showtime"" and costing $99 for the year, I did not get what I wanted because I had higher expectations for the functionality and content of the service.","Neutral because I do not exactly consider relaxing and killing downtime by streaming content as being ""pleasant."" However, it is not exactly ""unpleasant"" either. ","Unexpected because I considered a streaming service/app by such a big name as ""Showtime"" to function much better than it does, not be glitchy, have better visual and user experience, and have multiple profile options.",4,4,3,1,2,7,7,6,7,1,1,1,7,4,7,1,6,3,7,4,6,2,1,2,4,7,7,1,1,4,4,2,NA,,Portable personal blender,10,Grateful,,,"I am grateful that even though the portable blender was so cheap, it functions fantastically and is useful in many more ways than I thought that it would be.",I was feeling grateful because I was worried that it would not function well considering the cheap cost.,Yes because my husband and young son are the ones who wanted one and it was important to me that they were happy.,"Yes because we wanted small, portable, personal blenders that functioned well. The product is consistent with what we wanted not only by functioning well, but being easy to clean, rechargeable, holds a long charge, and easy to use (especially for our son).","Yes because it is so quick and simple to use and mixes drinks, ice, etc. quite nicely.","Unexpected because I did not expect the product to function as well as it does, be easy to clean, and hold its charge for as long as it does.",6,6,7,,7,7,,7,3,1,5,1,7,,4,1,1,,1,7,6,7,7,1,6,1,7,5,7,1,1,7,NA,,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Female,,35 - 44 years old,White or Caucasian,,No,English,Bachelor’s degree,"Less than $25,000",62a7a21997b471c922af1fd3,1
 Cartier Panthre de Cartier Small wgpn0008,18000,Disappointment,,,I won the lottery so I had enough to afford this watch without remorse. I had gotten the watch to impress my girl friend's dad knowing he was into fancy watches,"When we visited to see him, I was excited because at last i have the opportunity to show him my watch so he can see we have one or two things in common. I was shocked because he hardly ever noticed it.",Yes it was because I bought it to impress him but he wasn't at all impressed.,I later found out I was sold a fake version of the watch. ,"It felt really good until i found out i was wearing a fake wrist watch I bought at a store. Obviously, someone switched the watch or they bought a fake wrist watch to start with.",Everything was good until i found out do watch wasn't what i expected it to be. ,5,5,3,4,4,2,6,2,2,5,3,4,4,3,5,4,3,5,4,3,3,2,3,7,1,7,7,1,1,7,5,1,na,, Cartier Panthre de Cartier Small wgpn0008,18000,Disappointment,,,It was pathetic experience because my in-law i was hoping to impress took one look at it and said the original of that is pretty expensive. That melted my emotion.,I felt goo until I was tild I had bought a fake watch. That wasn't good at all,It was important to me because i had bought it tom try to impress my in law,No because the product failed to live to expectation,Yes it felt good because I paid that much for it until I found out that product wasn't as described.,I expected it would be impressive because it is a great watch and has excellent reputation among watch lovers,5,5,4,4,3,5,3,3,5,6,5,3,3,4,4,4,4,5,3,4,3,4,5,7,2,7,7,2,4,7,6,2,NA,,Somewhat agree,Somewhat agree,Neither agree or disagree,Strongly agree,Somewhat disagree,Neither agree or disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Female,,35 - 44 years old,Black or African American,,No,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",5e160795265c80bf44a4cd83,1
A vacation,1500,Grateful,,,"I took a trip with one of my best friends to a city I have been wanting to travel to for a long time. We planned to see some sporting events, different tours, and dining options. We spent a lot of time planning and booking these experiences. I felt grateful because I was with someone I care for a lot and did a lot of things that were memorable. These are memories I will cherish for a lifetime.",I realized during the time I was on the trip that I would remember the different experiences and events we had for a long time. My friend was grateful that I took the time to book and prepay for a lot of things. We had an excellent time and there was minimal stress while we were away. It made me feel very lucky because not a lot of people can do this.,Yes because it was a very memorable trip and I made a lot of memories that I will cherish forever. It was an experience I will never forget.,Yes because I took the time to do thorough research on what I wanted to do and where I wanted to stay. By listening to reviews and recommendations I was able to maximize my experience. I have no issues with anything that I booked or chose to do.,Yes because everything lived up to expectations that I had for the trip. I enjoyed all of the things we booked and it made everything pleasant.,Everything turned out as expected because the reviews and recommendations were reliable. It made things very easy to decide on and schedule.,7,7,7,7,7,7,,7,3,1,7,1,1,,3,5,5,7,2,5,7,7,4,1,7,1,2,6,7,1,1,7,NA,,Dining Out,200,Disgust,,,"The wait staff was rude, the kitchen messed up our orders multiple times, and the overall experience was not worth the price paid.",I tried to be patient and understanding but the staff made the situation a lot worse. Instead of trying to help and fix the situation they became hostile.,Yes because we chose to go out and spend a decent amount on this dinner. It was a restaurant we were anxious to try.,"No because the entire experience was negative. The food was bad, the service was bad, and the overall atmosphere was unenjoyable because of it.","No because none of my friends enjoyed our meal. No one was happy with the entire evening,",Unexpected because we had high hopes for the restaurant. I was expecting a much more pleasant experience.,1,1,1,1,1,1,3,1,7,3,1,1,7,,7,1,1,1,1,2,6,1,1,7,1,7,1,1,1,7,7,1,NA,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Male,,35 - 44 years old,White or Caucasian,,No,English,Bachelor’s degree,"$75,000-$99,999",5589be79fdf99b18be320155,1
Apple phone (iphone 13 promax),$839 ,Other negative emotion,,scared of loosing it,"the product is one of the most expensive product in the market when it comes to mobile phones, the brand is powerful too. i felt that way because is one of my best achievement and dream comes through. now it is giving me what i want in terms of browsing and working too. my negative feelings is not to lose it to streets robbers. ",i feel good to possess that mobile phone and i feel scared to lose it to robber in the street,yes because it is helping me to work effectively coupled with the fast browsing cheat. it is also important to me because i do some video coverage in some event and it giving me the what i want in terms of camera quality ,"Yes because i am using the camera to cover events like birthday parties, naming ceremony, graduations, etc. i love the product.","yes because it was easy to operate and it gave me maximum services i needed from it, the product still remain the best .","Expected because everything i wanted was working and i enjoyed it. it gave me what i expected from it, thats the joy of getting a good expensive product.",5,5,5,1,5,5,2,5,1,1,5,3,1,1,2,2,2,2,2,4,5,6,7,1,7,1,5,7,6,1,1,7,NA,,televison set,$300 ,Disappointment,,,i bought a tv set to be using in my room but i got to know it wasn't a smart tv and i was disappointed immediately and i had to call the company and asked them why they sold a tv that is not smart,i was feeling disappointed because it wasnt what i wanted and it was not giving me the services i wanted ,Yes because i wanted to use it with network and also to be reviewing my youtube channel,No because it was not a smart tv and regretted purchasing it at the first time.,No because it was not my ideal product to purchase and it was not pleasant using it,Unexpected because it was opposite of what i wanted and it was bad experience ,2,1,1,5,1,1,1,1,1,5,1,4,1,1,,5,2,,,1,1,1,1,7,1,7,6,1,1,7,7,1,NA,,Neither agree or disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Male,,55 - 64 years old,Black or African American,,No,English,Bachelor’s degree,"$75,000-$99,999",644c00712c4768d8e3860750,2
A vacation.,"$8,000 ",Joy,,,"The fact that I got to experience a whole new culture, meet new people and have a lot of fun with my wife.","Because I had a lot of fun, freedom and learned a lot. The vacation was very worthwhile in general.","Yes because my wife and I had been longing to go on that vacation for a long time, and we finally got to go. We really needed to experience something new.",Yes because we got exactly what we needed and more from the vacation. It gave us a new perspective on life.,"Yes because I got to experience a new culture, new kinds of food, happiness and a whole lot more.","It was both expected and unexpected in the sense that I expected it to be a pleasing experience, and some things that we experienced and learned were really unexpected.",6,7,6,6,7,7,6,7,4,2,5,3,,7,,,,4,1,6,6,7,7,1,7,1,5,5,7,1,1,7,NA,,A shoe,$150 ,Disappointment,,,The product was very inferior compared to what I was led to believe from the website.,Because I spent a lot of money and had a lot of expectation.,Yes because supposed to be a gift to a very dear friend.,No because it was very inferior compared to what I expected.,"Not at all, I had to return it and get a refund. I couldn't give my friend such an inferior gift.",Unexpected because I had high hopes that I had gotten a good pair of shoes.,3,1,1,5,2,5,3,2,6,5,1,6,,,5,6,7,4,1,1,5,1,1,6,1,7,5,1,1,6,5,1,NA,,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Male,,45 - 54 years old,Black or African American,,No,English,Bachelor’s degree,"$150,000 or more",6412ddd00034044433dc4dae,2
Apple watch,430,Joy,,,"The capabilities of the product made me feel joy. While using the watch, I found that there were more capabilities than I anticipated which made me joyful. Also, the ease of using the watch and syncing it with my phone made me feel joy. I had previously been unsure about how easy it would be to use the watch so I felt joy when everything worked well. Lastly, the appearance of the watch made me feel joy as I liked how it looked on my wrist.",I felt joy because I realized that the watch was exceeding my expectations and would be very helpful going forward.,"Yes because I planned to wear the watch daily and use it in multiple ways. I planned to use the watch to check my notifications, track my exercise stats, and to check my heart rate and other health stats. ",Yes because the product proved capable of the functions I needed it for. It also looked aesthetically pleasing as I had desired it to.,"Yes because I was enjoying learning how the watch worked and what it could do for me. Also, it was proving easy to figure out and set up.",Unexpected because the watch was easier to set up and use than I expected. Unexpected because the watch could perform more capabilities than I expected it to.,5,6,6,4,7,6,6,7,2,2,6,3,1,4,2,5,2,7,2,2,6,6,6,2,6,2,5,1,5,1,2,6,NA,,Mirror,200,Anger,,,I realized that there was a scratch in the mirror. It was near the outside of the mirror so it had been covered by packaging when I had bought it at the store. This meant I hadn’t been able to see this scratch when I originally bought it. I didn’t notice it when I hung up the mirror so it was frustrating to find the scratch after the mirror was set up and being used.,I was angry thinking about the fact that the store had sold me a damaged product and that I had invested time and money into it by purchasing and setting up the mirror. I was also angry that my mirror wasn’t as aesthetically pleasing with the scratch.,Yes because the mirror was set up in my living room so that it could be used daily and is visible to all guests.,No because I expected a scratch free mirror and considered this to be a damaged item.,No because I was distracted by the scratch and it brought up feelings of anger over having received a damaged product.,Unexpected because the mirror had a scratch and I expected it to be scratch free.,3,2,3,4,1,7,4,5,5,5,2,7,2,4,5,7,7,4,4,1,5,2,3,6,2,5,5,1,1,5,4,3,NA,,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree or disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree or disagree,Somewhat agree,Strongly agree,Somewhat agree,Female,,25 - 34 years old,White or Caucasian,,No,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",5e7abb2c6c89e4000a180b4a,2
